"ID","Latitude","Longitude","Distance"
"045149","35.167322","-92.720324","0.0"
"045151","36.075676","-90.971915","0.0"
"045153","35.618856","-92.262452","0.0"
"045155","36.23009","-91.609386","0.0"
"045157","35.21641","-90.781334","0.0"
"045158","35.502158","-92.034977","0.0"
"045165","33.937835","-91.837389","0.0"
"045166","35.219618","-90.788887","0.0"
"045167","36.186186","-94.162428","0.0"
"045168","35.464427","-93.441331","0.0"
"045170","36.113222","-90.551092","0.0"
"045172","33.519641","-91.444471","0.0"
"045173","33.551795","-92.862182","0.0"
"045176","33.645201","-91.790455","0.0"
"045177","34.274076","-91.349739","0.0"
"045178","36.380332","-90.19872","0.0"
"045180","33.959298","-93.84719","0.0"
"045181","33.787278","-93.38048","0.0"
"045182","33.207147","-92.698","0.0"
"045183","35.067448","-92.460719","0.0"
"045184","33.314889","-91.290307","0.0"
"045187","33.28023","-93.211111","0.0"
"045189","33.572111","-92.844929","0.0"
"045190","33.111882","-91.947588","0.0"
"045191","34.671737","-92.964005","0.0"
"045192","36.247175","-93.121321","0.0"
"045194","33.457129","-94.030588","0.0"
"045195","35.14379","-90.203177","0.0"
"045196","35.453106","-91.98883","0.0"
"045197","36.248683","-93.121544","0.0"
"045199","34.598472","-92.551051","0.0"
"045201","33.607567","-92.034939","0.0"
"045202","34.798425","-92.240437","0.0"
"045203","35.791598","-91.618955","0.0"
"045207","33.574341","-92.855287","0.0"
"045208","34.98134","-92.044843","0.0"
"045209","35.253809","-91.7087","0.0"
"045211","33.420545","-94.020544","0.0"
"045212","36.320268","-94.143356","0.0"
"045214","33.217245","-92.674079","0.0"
"045216","34.12218","-93.086541","0.0"
"045217","35.138","-90.193273","0.0"
"045218","36.280734","-92.49924","0.0"
"045219","35.016285","-90.77209","0.0"
"045220","36.108255","-94.132342","0.0"
"045221","34.540933","-90.623511","0.0"
"045222","35.268406","-91.203005","0.0"
"045227","33.665486","-94.11663","0.0"
"045228","34.778975","-91.562757","0.0"
"045232","33.369683","-93.489938","0.0"
"045236","34.977857","-91.519951","0.0"
"045239","33.614304","-91.813548","0.0"
"045241","33.464553","-94.02625","0.0"
"045242","36.380568","-93.741379","0.0"
"045243","34.464266","-93.023005","0.0"
"045244","33.659612","-94.112218","0.0"
"045245","35.069773","-92.465752","0.0"
"045246","35.007443","-92.811979","0.0"
"045247","35.287012","-93.152014","0.0"
"045248","36.369249","-91.835372","0.0"
"045250","36.315744","-92.353029","0.0"
"045254","34.594509","-93.006751","0.0"
"045256","34.310947","-92.415134","0.0"
"045259","34.743581","-92.365247","0.0"
"045266","34.543726","-93.630781","0.0"
"045267","35.411297","-94.375412","0.0"
"045268","35.454697","-94.325346","0.0"
"045269","33.94288","-91.84347","0.0"
"045270","34.346417","-92.823491","0.0"
"045271","33.207703","-92.640737","0.0"
"045275","33.207182","-92.643061","0.0"
"045277","34.163052","-92.023191","0.0"
"045280","36.283908","-92.611667","0.0"
"045284","36.288802","-90.995086","0.0"
"045287","34.045399","-94.339671","0.0"
"045288","34.725338","-92.408754","0.0"
"045289","34.770642","-91.909457","0.0"
"045290","35.205019","-93.154711","0.0"
"045295","36.316779","-93.5616","0.0"
"045297","35.890055","-90.158497","0.0"
"045300","35.281001","-93.730738","0.0"
"045301","35.138954","-93.935492","0.0"
"045302","36.331702","-94.151805","0.0"
"045303","34.482768","-91.560041","0.0"
"045304","35.077394","-91.892347","0.0"
"045305","34.615211","-92.503541","0.0"
"045306","33.810169","-93.378021","0.0"
"045308","35.095359","-92.466623","0.0"
"045311","34.154535","-92.023339","0.0"
"045312","35.90079","-90.342197","0.0"
"045313","35.08476","-92.488185","0.0"
"045314","34.791968","-91.895537","0.0"
"045315","35.818151","-90.442889","0.0"
"045317","35.771481","-91.61905","0.0"
"045318","34.780944","-91.73729","0.0"
"045321","35.811291","-90.688058","0.0"
"045322","36.057494","-91.880134","0.0"
"045323","35.617824","-91.265021","0.0"
"045326","35.436692","-94.337978","0.0"
"045327","35.864354","-90.629317","0.0"
"045332","35.667779","-90.523998","0.0"
"045334","35.603073","-91.252915","0.0"
"045337","33.647381","-93.592335","0.0"
"045338","34.448904","-93.089034","0.0"
"045339","35.248672","-92.943468","0.0"
"045340","35.290923","-93.169659","0.0"
"045341","36.093818","-93.74273","0.0"
"045342","33.95273","-93.854664","0.0"
"045343","34.725756","-92.389764","0.0"
"045345","35.334156","-94.42628","0.0"
"045346","34.114565","-94.020659","0.0"
